label,centroid
39,"[ 0.84443667 -0.74379802  0.2721207  -0.33280794  0.47074563 -0.89362631
 -0.35364154 -0.27330934  0.34175588  0.63657229 -0.03530094 -0.12681629
 -0.13730267 -0.18031471 -0.43691542 -0.50637533  0.3035311   2.56374136
 -0.39803824 -0.40758223  0.50757205  0.55653699  0.58788816]"
40,"[-1.4122554  -0.94605304 -0.29732842 -0.6677296   0.16140101  0.18365155
  0.19426405 -0.20049852 -0.337897    0.09019595  0.20888176  0.51714098
  0.22265867  1.24901899 -0.57438335  0.8364573   2.09809143 -0.38759037
 -0.39803824 -0.40758223 -1.95883224  0.55653699  0.58788816]"
41,"[ 0.09186784  0.19203014  0.05665087  0.0169511   0.03562838 -0.02450891
  1.85652017  3.57073429  0.44234597  0.76685491  5.80003415  4.84985733
  3.43660092 -0.04395317 -0.01716309 -0.09606485 -0.26850662 -0.36743782
 -0.23758963 -0.28490215  0.33277623  0.18533276  0.17077003]"
42,"[ 0.17791724  0.08863042 -1.16949775  0.02271076 -1.12769226 -1.18127642
 -0.99256964 -0.97474762 -0.16718145 -0.93286643 -0.76268291 -0.74696995
 -0.59000887  1.24901899 -0.73312822 -0.7724533  -0.84702054 -0.39005495
 -0.39803824 -0.40758223 -1.95883224  0.55653699 -1.70100378]"
43,"[ 0.24280943  1.00659032  0.16678874  1.12711119 -0.4112413   0.41886811
  1.3051964   1.47118064  0.78216527 -0.00545334  1.02741088  1.71490487
  0.36273448 -0.17975772  0.36279869 -0.41045937 -0.56208471 -0.39005495
 -0.39803824 -0.40758223  0.50661092  0.51493714  0.53442288]"
44,"[-1.45326298 -0.85385889 -0.53392602  0.35959585 -0.65710386  0.22674338
  0.3146528  -0.28961161 -0.07436138  0.07883871  0.28948859  0.61212078
  0.1816655  -0.1820163   2.22390262 -0.67695263 -0.76305682 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699 -1.70100378]"
45,"[ 0.72724593 -0.5559153   2.00591502  1.42569642  0.4118683   0.35225669
 -0.43102579  0.48058093  0.73005536  0.05668843 -0.34560185 -0.23115438
 -0.37166883 -0.17916319  0.03977282 -0.28798834 -0.45052027 -0.39005495
 -0.39803824 -0.40758223  0.50558503  0.55452614  0.58788816]"
46,"[ 0.70599234 -0.61058044 -0.31964905 -1.23132678  1.41608358 -0.89362631
 -0.44840712 -0.6134408  -1.27075031  0.40448531 -0.23840026 -0.24236496
  0.16820506 -0.1820163  -0.35132851 -0.50665109  0.30145208  2.56374136
 -0.39803824 -0.40758223  0.51050824 -1.79682575 -1.66459407]"
47,"[ 0.79841689 -0.71127782  0.06659008  1.37718782 -0.52886549  1.22042532
  0.12588347  0.11416554  0.78103836 -1.00820303 -0.80561796 -0.80641385
 -0.62197451 -0.1820163   0.93378322 -0.48257123 -0.69718885 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
48,"[ 0.58261122 -0.59906147 -0.51486768 -1.33256502  1.29697035 -0.89362631
  0.41717473 -0.21923495 -1.43918328  0.17871292  0.4495894   0.684617
  1.41196096 -0.1820163  -0.46742086 -0.46534664  0.47991948  2.56374136
 -0.39803824 -0.40758223  0.51050824 -1.79578994 -1.6697733 ]"
49,"[ 0.83800258  0.52897802 -1.20877502 -1.77360454 -1.16332641 -1.17999921
 -0.99096686 -0.99882784 -2.54547225 -1.00586918 -0.80408554 -0.8042922
 -0.62217449 -1.61305158 -0.73312822 -0.7724533  -0.84702054 -0.38743188
 -0.3958845  -0.40588841 -1.95883224 -1.79682575 -1.70100378]"
50,"[ 0.20944692  0.57230694 -0.59676324 -1.02203275  0.09189505  0.04835479
  0.40967021 -0.28558889 -0.54965334  0.02111565  0.33608539  0.73591467
  0.39676364  1.24901899 -0.57421043  0.68032462  2.09642128 -0.39005495
 -0.39803824 -0.40758223 -1.95883224  0.55653699  0.58716199]"
51,"[-0.07697834 -0.16117835  2.54900135  0.26058035  1.78013427 -0.6059762
  0.12633235  2.30866575  0.62630457  3.07772062  2.64374847  0.39045659
  1.33434332 -0.16544436 -0.45455237 -0.20043299  0.39307945 -0.39005495
  2.51232137  2.45154368  0.48191234  0.55653699  0.58632897]"
52,"[ 0.45613867 -0.02278007  0.23733274  0.32402789 -0.06201463  0.16432661
  1.00649567  1.42551378  0.64268429  1.09789331  2.58510791  1.44444382
  1.28982358 -0.16761274  0.69875916 -0.53548585 -0.62647434 -0.39005495
 -0.39803824 -0.40758223  0.48565402  0.42277569  0.43068777]"
53,"[-3.96044752e-01  2.00835290e-01 -4.89691652e-01 -1.13868301e-01
 -3.08157002e-01 -1.28001208e-01  1.44985835e+01  6.51964050e+00
  8.44193482e-02  4.62517449e-02  1.14699590e+01  1.55560611e+01
  8.19826516e+00  3.31769787e-02  9.54180882e-01 -2.68729306e-01
 -2.00803588e-01 -1.25020348e-02  8.33746255e-02  8.71901147e-02
  2.13444725e-01  9.64811137e-02  3.71773189e-02]"
54,"[ 0.61134367  0.09496011  2.21087974  0.33956747  1.40535732 -0.6059762
 -0.52949256  0.25396185  0.64046102  2.3144307   0.37360548 -0.31709727
  0.0393069  -0.1820163  -0.48119219 -0.18042915  0.43198222 -0.39005495
  2.51232137 -0.40758223  0.51050824  0.55653699  0.50392449]"
55,"[ 0.37295406  0.94022728 -0.29484086  0.05788139 -0.36412494  0.27410023
  0.01385285 -0.27341154  0.18017356  0.15966791  0.116041    0.30621855
 -0.01001212  1.24901899  0.53436749 -0.49570066 -0.38231598 -0.39005495
 -0.39803824 -0.40758223 -1.95883224  0.55653699  0.58788816]"
56,"[ 0.26135715  0.50330534 -0.56983994 -1.13950553  0.5480134   0.04165222
 -0.32128889 -0.64112004 -1.11948963 -0.0353595  -0.29387999 -0.09951894
  0.01820274  2.68005427 -0.57639062  0.68063395  3.59972894 -0.39005495
 -0.39803824 -0.40758223 -1.95883224 -1.79682575  0.58788816]"
57,"[ 0.59886283 -0.68298535 -0.22143071 -0.35801464 -0.06473397  0.40441475
  0.30486353 -0.03892998  0.48288176  0.04102379  0.27919932  0.63093568
  0.02739106 -0.1820163  -0.57443204  1.09253501  0.62577057 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699  0.58788816]"
58,"[-3.80699428e-01  4.87352020e-02 -6.65329910e-01 -1.59571340e+00
  3.62899842e+00 -1.16152731e+00 -9.70494864e-01  8.03773063e-01
 -2.05315466e+00  1.23414717e-03  2.29446702e+00  3.45945524e+00
  1.02587238e+01 -1.51480140e+00 -7.29437379e-01 -7.71293065e-01
 -8.45349500e-01 -3.90054946e-01 -3.98038243e-01 -3.90501188e-01
 -1.85563592e+00 -1.79682575e+00 -1.68050624e+00]"
59,"[ 0.72723587 -0.73027963 -0.53543601 -0.25538575 -0.45902289 -0.6059762
  0.07652696 -0.41570149  0.07643147  0.12949369  0.11467397  0.3462269
  0.01545145  1.25099101  1.40705492 -0.71872684 -0.61472802 -0.39005495
  2.51232137 -0.40758223 -1.95883224  0.55329395  0.58788816]"
60,"[-0.52163169 -0.01871685 -0.30725768  0.98734563 -0.60671394  1.73517608
 16.16529149  9.92828582  0.6254943  -1.00903671 -0.80597648 -0.80691021
 -0.62217449 -0.09683563  0.29661711  0.87250859 -0.12396147 -0.39005495
 -0.39803824 -0.40758223  0.41251854  0.44447209  0.4516446 ]"
61,"[ 0.25697463 -0.08022229  2.11325675 -0.43203268  2.81909616 -0.89234134
 -0.5196352   0.2338469  -0.10069897  3.27245014  0.74422438 -0.30372988
  0.52691292 -0.1820163  -0.51042083 -0.45738429  0.50848807  2.55054635
  2.51232137 -0.4057564   0.51050824  0.54902785 -1.70100378]"
62,"[-1.48796956 -1.08725754 -0.57381023 -1.03361682  0.25090569  0.21624346
  0.05728166 -0.4482736  -0.87843098 -0.02211366  0.01017909  0.31818183
  0.28755296 -0.1820163  -0.35370898  0.45505144  0.2379664  -0.39005495
 -0.39803824 -0.40758223  0.51050824 -1.79682575 -1.70100378]"
63,"[-0.17915541 -0.02319961 -0.48094061 -1.27281982  1.17444772  0.53757769
  0.03716271 -0.39429853 -1.38051331  0.12528232  0.09263006  0.29872421
  0.76201276  5.92022865 -0.5730305   1.24783078  6.82331392 -0.3874707
 -0.39803824 -0.40633067 -1.95883224 -1.79682575 -1.70100378]"
64,"[ 0.13744914  0.07460102  1.57178385  1.48154598  0.18277858  1.41221015
  2.11226975  5.43721019  0.76375684 -1.0031267  -0.80114247 -0.8002175
 -0.61963243 -0.16502351 -0.48628785  1.89598206  0.43668082 -0.39005495
 -0.39803824 -0.40758223  0.48328057  0.52260385  0.5471191 ]"
65,"[ 1.19545430e-01  1.20369688e-01 -6.55856835e-01  3.93667447e-01
 -7.36396187e-01 -2.08013672e-01  6.71624651e+00  2.54853007e+00
  7.01280832e-02  2.48424436e-03  5.26123310e+00  7.50105951e+00
  3.69949731e+00  1.16694951e-01  2.77109148e+00 -7.16905651e-01
 -7.59443641e-01  1.35701678e-01  1.48242850e-01  5.07452964e-02
  5.89945284e-02  1.57966819e-02 -2.69274730e-02]"
66,"[ 0.48779367  1.07616341  0.11129674  1.55827372 -0.54071281  1.3618942
  0.97647789  1.02069728  0.8182779  -1.00831158 -0.80569007 -0.80651369
 -0.62202388 -0.1820163   0.42820662 -0.28013861 -0.60397758 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55482264  0.58622079]"
67,"[-1.49348727 -0.79447766 -0.17396331 -0.71780938  0.5095316  -0.6059762
 -0.09905578 -0.31286639 -0.88655811  0.55575935  0.18793482  0.15050107
  0.57701887  1.24901899  0.76602279 -0.67612024 -0.43078667 -0.39005495
  2.51232137 -0.40565688 -1.95883224  0.55653699 -1.70100378]"
68,"[ 0.25973978  0.12028578  0.88458193  0.16643704  0.58134354 -0.89362631
  0.49065938  1.4230553   0.60078736  1.67111655  2.16622933  0.78425519
  1.08181235 -0.1820163   0.02377313 -0.60589621 -0.12736415  2.56374136
  2.51232137 -0.40758223  0.51050824  0.55535261  0.51416442]"
69,"[ 0.66405635 -0.67303222 -0.36390077 -0.63297596  0.01311228  0.36096915
  0.09324209 -0.29999708 -0.08038189  0.02592393  0.08800933  0.39667179
  0.03423594 -0.1820163  -0.57666011  1.05884202  0.63653075 -0.39005495
 -0.39803824 -0.40758223  0.51050824  0.55653699 -1.70100378]"
70,"[-0.27255108 -0.11574562 -0.48001426 -1.54311617  3.66531272 -0.31926921
 -0.09931696 -0.42796286 -1.93691954  0.2681392   0.12579289  0.1943895
  2.02834199  2.68161824 -0.5782366   0.26175832  3.62728949 -0.38682675
 -0.39485752  2.45349264 -1.95883224 -1.79682575  0.58538664]"
71,"[ 0.71089543 -0.64898163 -0.34233467 -0.12895413 -0.32201578  1.4085819
  0.07043945 -0.29350304 -0.01632331 -0.88122091 -0.72135804 -0.68975535
 -0.5665602   1.24901899 -0.57628919  2.30531919  2.11649946 -0.39005495
 -0.39803824 -0.40758223 -1.95883224  0.55653699  0.58788816]"
72,"[ 0.59130035  0.2707732  -1.20941132 -1.04962187 -1.16214375 -1.18127642
 -0.99256964 -0.99957577 -1.32320303 -1.00705183 -0.8053715  -0.80607262
 -0.6215493  -0.1820163  -0.73312822 -0.7724533  -0.84702054 -0.39005495
 -0.39803824 -0.40758223  0.51050824 -1.79682575 -1.70100378]"
